simulation_id,timestamp,project,wind_direction,inlet_velocity,duration_s,zone_id,zone_type,LAI,LAI_2D,height,porosity,n_cells,TI_mean,TI_p5,TI_p95,k_mean,k_min,k_max,omega_mean,omega_min,omega_max,k_over_U2_mean,U_mean,nu_t_mean
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,4204,26.57927689081774,8.092484058620833,92.06020714636229,0.03601066007109114,0.0002831521212551211,0.11697415539023587,0.4090252344838826,0.08777203728147587,2.039946435210988,0.0011482991094097941,0.7231269968524511,0.047138435389145764
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,1122,32.61311291305471,7.049818472087565,58.19728501772635,0.029732755653691125,0.0026742051436453008,0.08485497438832067,0.5408516227521954,0.08561331486464721,5.280688008999187,0.0009481108307937223,0.5373242250759049,0.05160046160525112
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,4782,21.005273944386555,6.6748904697851925,64.70020574920113,0.026062969702936742,0.00025514884103476106,0.11958567286124336,0.45586399985439496,0.07873948339873588,5.176481399347338,0.0008310895951191566,0.8894047987837709,0.04430393170098081
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,12648,21.85874415268692,6.81742486442109,78.73261724262899,0.03903901660902106,0.00016650210262551362,0.13050391452282262,0.484612663910246,0.08069542253804313,5.332921022059613,0.0012448666010529675,1.1211005162826526,0.06386067275931301
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,3310,48.27078997404167,8.227548460140296,133.5886657605791,0.033641591097172144,0.00015820534687823297,0.05890009107191603,0.4935825930890767,0.045554536488172634,2.468363355170105,0.0010727548181496223,0.5812901432361505,0.06914117791280237
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,126,17.896182090375188,12.622953876890005,29.528732991908996,0.03900201658417016,0.03309917179748406,0.0472136742906393,0.6150801783284695,0.5194356270096521,0.6955809942637802,0.0012436867533217523,0.9572720075486205,0.04760011985261066
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,2856,12.72501843664369,6.970524758982075,14.603279024775603,0.09385834060515781,0.0006775392648953209,0.12057582212963158,0.8823484869024241,0.31447578214989635,6.133902687990412,0.002992931779501206,1.9296988360615028,0.128913823485205
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,5481,30.735463151217353,8.168631562572354,98.120393041654,0.03937220272674481,0.0010965604508555817,0.13023729321404748,0.49973362822527606,0.037229466807195855,6.71899245151482,0.0012554911583783424,0.7435233876597156,0.05312342508295574
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,5448,19.123159735443227,7.90441384995919,38.92913077864999,0.03384879109802395,0.00013795036427662437,0.09971563722759297,0.4526144319031631,0.08056123723325943,1.666763652071334,0.0010793619610339274,0.7464463977258203,0.05113773075535917
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,8664,21.226175013231398,7.422257905881084,65.30421297640005,0.05555468025520892,0.00012340112307205746,0.09714385628957109,0.5406756737775635,0.08849362371719907,2.557615141482857,0.001771514038750285,1.175537610550643,0.07594282006554559
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,2418,43.3617176048263,13.272628497206039,129.6314441678136,0.05428126687449724,0.00032211582214960836,0.1007673460064002,0.5475201202867535,0.07886397686249359,1.3133447629283488,0.0017309077447224888,0.690212325776636,0.07896890924504317
2026-01-31_21-46-45_tuohitie_7_kerava_edited,2026-01-31T21:46:45.003472,tuohitie 7 kerava,,5.6,0.25,Piha (pensaat+nurmi),yard_mixed,,,1.2,0.9751148695508249,157,9.27321828752345,6.902139052250091,14.969515852928682,0.01243619188237831,0.005400541862340331,0.051887511809740605,0.8446249935519562,0.16745125365506705,3.33666748524223,0.0003965622411472676,0.9249263626413092,0.02132132809705315
